aptDong	aptNm	buildYear	buyerGbn	cdealDay	cdealType	dealAmount	dealDay	dealMonth	dealYear	dealingGbn	estateAgentSggNm	excluUseAr	floor	jibun	landLeaseholdGbn	rgstDate	sggCd	slerGbn	umdNm
102	청담건영	1994	개인			330,000	11	6	2026	중개거래	서울 강남구	84.595	5	108	N	26.07.31	11680	법인	청담동
	한양6	1980	개인			520,000	30	6	2026	중개거래	서울 강남구	110.74	1	484	N		11680	개인	압구정동
	까치마을	1993	개인	26.08.04	O	145,000	20	6	2026	중개거래	서울 강남구	34.44	6	746	N		11680	개인	수서동
	개포우성2	1984	개인			620,000	24	6	2026	중개거래	서울 강남구	159.6	6	500	N		11680	개인	대치동
102	두산위브1단지	2004	개인			212,000	29	6	2026	중개거래	서울 강남구	84.993	8	252-1	N	26.08.14	11680	개인	논현동
	한신(개포)	1985	개인			320,000	27	6	2026	중개거래	서울 강남구	52.73	6	464	N		11680	개인	도곡동
606동	강남한신휴플러스6단지	2015	개인			180,000	7	6	2026	중개거래	서울 강남구	84.83	3	365	N	26.08.10	11680	개인	율현동
102	도곡렉슬	2006	개인			269,000	27	6	2026	중개거래	서울 강남구	59.9772	22	527	N	26.08.24	11680	개인	도곡동
432	개포자이프레지던스	2023	개인			274,000	26	6	2026	중개거래	서울 강남구	49.9528	5	1284	N	26.08.28	11680	개인	개포동
	세곡푸르지오	2012	개인			170,500	29	6	2026	중개거래	서울 강남구	59.89	5	533	N		11680	개인	세곡동
	두산위브2단지	2004	개인			242,000	30	6	2026	중개거래	서울 강남구	106.829	14	258	N		11680	개인	논현동
	개포래미안포레스트	2020	개인			319,000	6	6	2026	중개거래	서울 강남구	84.86	3	1282	N		11680	개인	개포동
	청담대우멤버스카운티12차	2004	개인			270,000	24	6	2026	중개거래	서울 강남구	141.88	4	110-11	N		11680	개인	청담동
	삼익	1992	개인			206,000	19	6	2026	중개거래	서울 강남구	49.2	10	708	N		11680	개인	수서동
	신현대12차	1982	개인			580,000	30	6	2026	중개거래	서울 강남구, 서울 용산구	107.16	2	434	N		11680	개인	압구정동
	은마	1979	개인			393,000	30	6	2026	중개거래	서울 강남구	84.43	9	316	N		11680	개인	대치동
	개포우성2	1984	개인			500,000	26	6	2026	중개거래	서울 강남구	127.78	5	500	N		11680	개인	대치동
	개포래미안포레스트	2020	개인			400,000	6	6	2026	중개거래	서울 강남구	112.97	10	1282	N		11680	개인	개포동
	한양수자인어반게이트	2013	개인			18,000	30	6	2026	중개거래	서울 강남구	16.2	6	221-7	N	26.07.06	11680	개인	논현동
	현대13차(208~211동)	1983	개인			610,000	3	6	2026	중개거래	서울 강남구	108.47	11	448	N		11680	개인	압구정동
	대치더클래스	2022	개인			208,000	3	6	2026	중개거래	서울 강남구	84.12	4	1031	N		11680	개인	대치동
302	삼성동센트럴아이파크	2018	개인			388,000	26	6	2026	중개거래	서울 강남구	84.95	19	188	N	26.08.18	11680	개인	삼성동
	강남데시앙파크	2011	개인			160,000	30	6	2026	중개거래	서울 강남구	84.97	9	525	N		11680	개인	세곡동
	수서	1992	개인			190,500	29	6	2026	중개거래	서울 강남구	59.94	11	711	N		11680	개인	일원동
	래미안대치팰리스	2015	개인			397,000	29	6	2026	중개거래	서울 강남구	91.93	10	1027	N		11680	개인	대치동
	푸른마을아파트101동~111동	1994	개인			230,000	27	6	2026	중개거래	서울 강남구, 서울 송파구	59.76	11	719	N		11680	개인	일원동
	은마	1979	개인			348,000	12	6	2026	중개거래	서울 강남구	76.79	9	316	N		11680	개인	대치동
	청담신원아침도시마인	2013	개인			33,000	18	6	2026	중개거래	서울 강남구	27.0875	5	122-35	N		11680	개인	청담동
103	도곡렉슬	2006	개인			290,000	27	6	2026	중개거래	서울 강남구	59.9818	14	527	N	26.09.01	11680	개인	도곡동
	삼성빌라트	1998	개인			137,700	17	6	2026	중개거래	경기 안산시 단원구, 서울 강남구	120.98	5	79-5	N		11680	개인	논현동
	까치마을	1993	개인			161,500	28	6	2026	중개거래	서울 강남구	39.6	12	746	N		11680	개인	수서동
1002	까치마을	1993	개인			158,000	27	6	2026	중개거래	서울 강남구	39.6	1	746	N	26.08.04	11680	개인	수서동
	힐타워	2001	개인			129,000	10	6	2026	중개거래	서울 강남구	110.47	2	53-1	N	26.08.26	11680	개인	논현동
	삼익대청아파트	1992	개인			177,500	27	6	2026	중개거래	서울 강남구, 서울 서초구	39.53	5	12	N		11680	개인	개포동
	신동아(22)	1997	개인			133,000	27	6	2026	중개거래	서울 강남구	35.73	2	22	N		11680	개인	논현동
102	대치르엘	2021	개인			280,000	22	6	2026	직거래		59.9972	4	1030	N	26.08.24	11680	개인	대치동
101	강남센트럴아이파크	2022	개인			292,000	11	6	2026	중개거래	서울 강남구	59.945	29	902	N	26.08.21	11680	개인	역삼동
	프리마빌	2003	개인			105,000	26	6	2026	중개거래	서울 강남구	92.35	1	727-11	N		11680	개인	역삼동
209	성원대치2단지아파트	1992	개인			159,500	27	6	2026	중개거래	서울 강남구, 서울 서초구	33.18	11	12	N	26.08.14	11680	개인	개포동
212	래미안블레스티지	2019	개인			312,600	9	6	2026	중개거래	서울 강남구	84.94	21	1280	N	26.06.29	11680	개인	개포동
	개포자이프레지던스	2023	개인			248,000	25	6	2026	중개거래	서울 강남구	45.8769	5	1284	N		11680	개인	개포동
14	개포우성2	1984	개인			610,000	24	6	2026	중개거래	서울 강남구	159.6	8	500	N	26.07.09	11680	개인	대치동
개포자이르네	개포자이르네	2022	개인			144,000	11	6	2026	중개거래	서울 강남구	50.8665	7	1283	N	26.08.20	11680	개인	개포동
	강남엘에이치1단지	2013	개인			192,000	25	6	2026	중개거래	서울 강남구	74.74	14	579	N		11680	개인	세곡동
	은마	1979	개인	26.08.10	O	337,000	23	6	2026	중개거래	서울 강남구	76.79	2	316	N		11680	개인	대치동
703	신동아	1992	개인			159,500	25	6	2026	중개거래	서울 송파구	33.18	7	736	N	26.08.27	11680	개인	수서동
	한화진넥스빌	2001	개인			34,500	24	6	2026	중개거래	서울 강남구	39.2	19	706-20	N	26.08.11	11680	개인	역삼동
	강남자곡 힐스테이트	2015	개인			130,000	5	6	2026	중개거래	서울 송파구	84.39	3	619	N		11680	개인	자곡동
9	한양1차(영동한양)	1977	개인			565,000	12	6	2026	중개거래	서울 강남구	91.21	5	490	N	26.06.30	11680	개인	압구정동
	삼익대청아파트	1992	개인			190,000	1	6	2026	중개거래	서울 강남구	51.12	2	12	N		11680	개인	개포동
101	현대1차101동~106동	1984	개인			357,000	5	6	2026	중개거래	서울 강남구	128.62	9	653	N	26.08.20	11680	개인	개포동
214	성원대치2단지아파트	1992	개인			160,000	24	6	2026	중개거래	서울 강남구	33.18	12	12	N	26.07.29	11680	개인	개포동
	개포자이프레지던스	2023	개인			350,000	1	6	2026	중개거래	서울 강남구, 서울 용산구	78.7747	6	1284	N		11680	개인	개포동
	개포자이프레지던스	2023	개인			372,000	3	6	2026	중개거래	서울 강남구	84.5978	13	1284	N		11680	개인	개포동
	래미안강남힐즈	2014	개인	26.07.14	O	230,000	24	6	2026	중개거래	서울 강남구	101.94	11	611	N		11680	개인	자곡동
	래미안블레스티지	2019	개인			360,000	1	6	2026	중개거래	서울 강남구	113.808	1	1280	N		11680	개인	개포동
	삼성동롯데아파트	2000	개인	26.07.24	O	235,000	4	6	2026	중개거래	서울 강남구	59.4	2	17	N		11680	개인	삼성동
	현대2	1986	개인			325,000	4	6	2026	중개거래	서울 강남구	84.81	1	654	N		11680	개인	개포동
814동	디에이치자이개포	2021	개인			432,000	6	6	2026	중개거래	서울 강남구	103.86	21	743	N	26.08.26	11680	개인	일원동
	현대13차(208~211동)	1983	개인	26.07.08	O	610,000	11	6	2026	중개거래	서울 강남구	105.45	5	448	N		11680	개인	압구정동
